article_id,disease_id,disease_name,title,url,text,symptoms,risk_factors,age_groups,smoking,bmi,comorbidities
ART_001,RTI_001,Pneumonia,Pneumonia Overview,https://www.who.int/news-room/fact-sheets/detail/pneumonia,Pneumonia is an acute infection of the lung parenchyma causing cough fever dyspnoea and chest pain.,cough; purulent sputum; fever; dyspnoea,elderly; smoking; chronic disease,child; adult; elderly,current_smoker; ex_smoker,obese; underweight,COPD; asthma; heart failure; diabetes
ART_002,RTI_002,Influenza,Influenza Overview,https://www.who.int/news-room/fact-sheets/detail/influenza-(seasonal),Influenza is a viral respiratory infection causing fever fatigue cough and systemic illness.,fever; cough; fatigue; myalgia,elderly; immunosuppressed,child; adult; elderly,current_smoker; ex_smoker,obese,asthma; COPD; diabetes
ART_003,RTI_003,Common Cold,Common Cold Overview,https://www.nhs.uk/conditions/common-cold/,Common cold is a mild viral infection affecting the upper respiratory tract.,sneezing; sore throat; congestion,crowding; smoking,child; adult; elderly,current_smoker,all,asthma; immunosuppression
ART_004,RTI_004,Acute Sinusitis,Sinusitis Overview,https://www.nhs.uk/conditions/sinusitis/,Sinusitis is inflammation of sinuses causing facial pain congestion and discharge.,facial pain; congestion; nasal discharge,allergies; smoking,child; adult; elderly,current_smoker,all,asthma; allergic rhinitis
ART_005,RTI_005,Pharyngitis and Strep Throat,Strep Throat Overview,https://www.cdc.gov/groupastrep/diseases-public/strep-throat.html,Pharyngitis is inflammation of the throat commonly caused by viral or bacterial infection.,sore throat; fever; painful swallowing,close contact; school exposure,child; adult,current_smoker,all,diabetes; immunosuppression
ART_006,RTI_006,Laryngitis and Croup,Laryngitis Overview,https://www.nhs.uk/conditions/laryngitis/,Laryngitis involves inflammation of the larynx causing hoarseness and voice loss.,hoarseness; barking cough; stridor,viral infection; children,child; adult,non_smoker,all,none
ART_007,RTI_007,Acute Bronchitis,Bronchitis Overview,https://www.nhs.uk/conditions/bronchitis/,Bronchitis is inflammation of bronchial tubes leading to cough and mucus production.,cough; sputum; fatigue,smoking; air pollution,adult; elderly,current_smoker; ex_smoker,all,COPD; asthma
ART_008,RTI_008,Bronchiolitis,Bronchiolitis Overview,https://www.nhs.uk/conditions/bronchiolitis/,Bronchiolitis is a viral infection affecting infants causing breathing difficulty.,wheezing; cough; feeding difficulty,infants; prematurity,infant,passive_smoker,all,prematurity
ART_009,RTI_009,COPD Exacerbation,COPD Exacerbation Overview,https://www.nhs.uk/conditions/chronic-obstructive-pulmonary-disease-copd/,COPD exacerbation is worsening of respiratory symptoms requiring treatment.,increased dyspnoea; sputum; cough,smoking; infections,adult; elderly,current_smoker; ex_smoker,underweight,COPD; heart disease
ART_010,RTI_010,Tuberculosis,Tuberculosis Overview,https://www.who.int/news-room/fact-sheets/detail/tuberculosis,Tuberculosis is a bacterial infection affecting lungs causing chronic cough and weight loss.,chronic cough; night sweats; weight loss,crowding; HIV,adult; elderly,current_smoker,underweight,HIV; diabetes
ART_011,RTI_011,COVID-19,COVID-19 Overview,https://www.who.int/health-topics/coronavirus,COVID-19 is caused by SARS-CoV-2 leading to respiratory illness.,fever; cough; anosmia; fatigue,age; obesity; comorbidities,adult; elderly,current_smoker; ex_smoker,obese,diabetes; hypertension
ART_012,RTI_012,Whooping Cough,Pertussis Overview,https://www.cdc.gov/pertussis/index.html,Pertussis is a highly contagious bacterial infection causing severe coughing fits.,paroxysmal cough; vomiting; apnea,unvaccinated; infants,infant; child,non_smoker,all,none
ART_013,RTI_013,RSV,RSV Overview,https://www.cdc.gov/rsv/index.html,RSV is a viral infection causing respiratory illness in children and elderly.,wheezing; cough; fever,infants; elderly,infant; elderly,passive_smoker,all,prematurity
ART_014,RTI_014,Legionnaires Disease,Legionnaires Overview,https://www.cdc.gov/legionella/index.html,Legionnaires disease is a severe pneumonia caused by Legionella bacteria.,fever; cough; dyspnoea,contaminated water; smoking,adult; elderly,current_smoker,all,chronic lung disease
ART_015,RTI_015,Pulmonary Aspergillosis,Aspergillosis Overview,https://www.cdc.gov/fungal/diseases/aspergillosis/,Pulmonary aspergillosis is a fungal infection affecting immunocompromised individuals.,cough; haemoptysis; fever,immunosuppression; lung disease,adult; elderly,current_smoker,underweight,COPD; immunosuppression
